product_id,product_name,category,segment,size,color,price,cogs
79,MekongFit MA-10,Casual,All-weather,S,orange,2991.81,2762.64
80,VietMode RP-34,Outdoor,Activewear,L,orange,4865.72,4294.0
81,HanoiStreet RS-17,Outdoor,Premium,M,blue,3464.37,3291.15
82,VietMode RP-43,Outdoor,Activewear,XL,black,5038.74,4786.8
83,VietMotion YY-10,GenZ,Trendy,M,black,2015.37,1140.9
84,HanoiStreet RP-51,Outdoor,Activewear,XL,blue,3884.38,2371.8
85,PhoenixWear UM-02,Streetwear,Balanced,XL,black,6929.37,5689.01
86,HanoiStreet UE-03,Streetwear,Performance,L,white,45.83,27.74
87,SaigonCore YY-38,GenZ,Trendy,XL,blue,1704.79,1064.98
88,VietMode RS-16,Outdoor,Premium,L,pink,34.11,20.53
89,HanoiStreet RP-79,Outdoor,Activewear,XL,black,811.89,584.96
90,MekongStyle UC-14,Streetwear,Everyday,L,orange,14486.85,11301.19
91,HanoiStreet MA-16,Casual,All-weather,M,yellow,40.76,24.16
92,DragonWear UM-38,Streetwear,Balanced,XL,black,9513.0,9037.35
93,LotusWear UE-37,Streetwear,Performance,S,green,32.66,20.31
94,UrbanVN UE-03,Streetwear,Performance,XL,blue,9308.55,5375.69
95,HanoiStreet UC-27,Streetwear,Everyday,S,white,3906.51,2223.98
96,DragonWear RP-21,Outdoor,Activewear,L,green,5043.4,4791.23
97,MekongFit UE-04,Streetwear,Performance,S,pink,4290.58,4000.1
98,PhoenixWear UC-04,Streetwear,Everyday,L,white,5039.37,2880.5
99,BambooCraft UM-03,Streetwear,Balanced,M,purple,23.25,13.33
100,BambooCraft UM-17,Streetwear,Balanced,XL,yellow,12504.49,11879.27
101,UrbanVN UR-27,Streetwear,Standard,S,white,37.45,23.06
102,UrbanVN RS-12,Outdoor,Premium,M,blue,1448.37,800.51
103,UrbanVN MA-05,Casual,All-weather,S,orange,3973.69,2680.65
104,HanoiStreet RP-66,Outdoor,Activewear,L,pink,1477.49,1174.31
105,VietMode RP-56,Outdoor,Activewear,S,white,3275.37,2097.87
106,HanoiStreet UM-22,Streetwear,Balanced,L,pink,10919.37,10373.4
107,SaigonFlex UC-22,Streetwear,Everyday,M,silver,10090.44,7554.71
108,MekongFit UC-27,Streetwear,Everyday,M,purple,2511.5,2353.77
109,MekongStyle UC-08,Streetwear,Everyday,S,green,69.47,42.88
110,VietMode RS-45,Outdoor,Premium,XL,silver,5235.27,4973.51
111,SaigonFlex UC-83,Streetwear,Everyday,L,pink,14262.41,13549.29
112,HanoiStreet UM-35,Streetwear,Balanced,XL,black,35.49,22.66
113,VietMode RP-39,Outdoor,Activewear,XL,silver,3892.45,3697.83
114,HanoiStreet UE-31,Streetwear,Performance,L,orange,5687.85,2991.24
115,SaigonCore YY-16,GenZ,Trendy,M,black,3791.74,3602.16
116,SaigonFlex UC-15,Streetwear,Everyday,L,red,6110.11,5804.6
117,UrbanVN RP-40,Outdoor,Activewear,M,purple,1070.37,1016.85
118,LotusWear UR-18,Streetwear,Standard,L,green,8877.43,4855.95
119,SaigonCore YY-12,GenZ,Trendy,M,silver,2735.54,2598.76
120,VietMotion RP-47,Outdoor,Activewear,L,red,1511.37,944.46
121,VietMotion UE-03,Streetwear,Performance,M,yellow,25.01,15.38
122,DragonWear UM-28,Streetwear,Balanced,M,black,23.85,13.21
123,VietMode RS-14,Outdoor,Premium,S,green,2706.41,2571.09
124,VietMode UE-05,Streetwear,Performance,XL,purple,5857.74,4998.41
125,SaigonFlex UM-42,Streetwear,Balanced,M,silver,9651.8,9169.21
126,SaigonFlex UC-57,Streetwear,Everyday,S,orange,11573.64,7346.95
127,MekongFit UR-01,Streetwear,Standard,S,white,4987.52,4154.11
128,VietMode RP-13,Outdoor,Activewear,M,black,5164.74,3993.89
129,MekongFit RP-48,Outdoor,Activewear,L,orange,2676.87,2543.03
130,LotusWear UE-10,Streetwear,Performance,M,yellow,10606.05,10075.75
131,VietMode RP-84,Outdoor,Activewear,S,orange,2068.32,1296.42
132,MekongFit UE-16,Streetwear,Performance,S,red,6400.83,3691.36
133,SaigonFlex UM-75,Streetwear,Balanced,L,red,12524.87,7330.81
134,VietMode RP-99,Outdoor,Activewear,XL,silver,5076.21,4041.17
135,UrbanVN UC-18,Streetwear,Everyday,XL,blue,3872.08,3180.91
136,HanoiStreet UM-12,Streetwear,Balanced,S,pink,10146.74,8943.33
137,SaigonFlex UC-07,Streetwear,Everyday,L,orange,10862.12,7602.4
138,VietMode RP-52,Outdoor,Activewear,S,red,4629.24,4397.78
139,PhoenixWear UE-02,Streetwear,Performance,M,yellow,5228.37,4966.95
140,SaigonFlex UM-88,Streetwear,Balanced,XL,blue,19535.01,18558.26
141,LotusWear UE-04,Streetwear,Performance,XL,blue,7286.85,6664.55
142,VietMotion UR-04,Streetwear,Standard,M,black,33.39,21.1
143,VietMode RP-00,Outdoor,Activewear,S,pink,1537.09,1460.23
144,UrbanVN RP-35,Outdoor,Activewear,S,red,1177.47,615.82
145,VietMode RS-65,Outdoor,Premium,XL,silver,31.66,18.85
146,DragonWear UR-38,Streetwear,Standard,XL,silver,24.88,14.22
147,VietMotion UC-20,Streetwear,Everyday,S,orange,4787.37,2481.77
148,DragonWear MA-13,Casual,All-weather,M,blue,5260.3,4066.74
149,LotusWear UE-18,Streetwear,Performance,M,silver,8483.48,6521.25
150,VietMode UR-03,Streetwear,Standard,L,red,5353.74,4705.94
151,VietMode RP-11,Outdoor,Activewear,XL,yellow,5669.15,4481.46
152,HanoiStreet MA-14,Casual,All-weather,XL,silver,37.68,21.75
153,UrbanVN YY-02,GenZ,Trendy,L,pink,3660.2,3166.07
154,SaigonFlex UC-35,Streetwear,Everyday,L,red,10899.89,10354.89
155,NamStyle YY-19,GenZ,Trendy,S,pink,61.59,36.29
156,SaigonCore MA-05,Casual,All-weather,L,red,9553.27,6129.37
157,HanoiStreet YY-09,GenZ,Trendy,S,pink,3261.77,2694.22
158,DragonWear UR-06,Streetwear,Standard,XL,purple,40.67,24.0
159,VietMotion RS-07,Outdoor,Premium,L,white,54.33,33.23
160,UrbanVN RP-55,Outdoor,Activewear,S,red,2026.08,1593.31
161,SaigonCore RP-13,Outdoor,Activewear,S,white,5217.51,4956.63
162,SaigonCore YY-33,GenZ,Trendy,L,pink,3592.58,3074.17
163,VietMode UE-02,Streetwear,Performance,S,orange,8188.74,4955.83
164,SaigonFlex UC-18,Streetwear,Everyday,M,blue,11516.62,9748.82
165,DragonWear UC-06,Streetwear,Everyday,L,white,23.03,14.65
166,MekongFit RP-36,Outdoor,Activewear,L,red,4610.97,4380.42
167,VietMode RS-80,Outdoor,Premium,L,orange,18.06,11.51
168,SaigonFlex UC-60,Streetwear,Everyday,XL,purple,8975.73,5284.91
169,VietMotion UR-16,Streetwear,Standard,M,blue,20.38,12.31
170,LotusWear UE-75,Streetwear,Performance,L,white,13924.6,13228.37
171,VietMode RP-24,Outdoor,Activewear,S,orange,5354.37,5086.65
172,VietMode RP-77,Outdoor,Activewear,M,purple,4230.24,2410.81
173,SaigonCore YY-51,GenZ,Trendy,S,green,1322.37,1104.31
174,PhoenixWear UM-14,Streetwear,Balanced,XL,blue,7489.43,5615.57
175,UrbanVN UE-11,Streetwear,Performance,XL,black,9008.37,6208.57
176,VietMotion RS-03,Outdoor,Premium,L,red,3778.76,3589.83
177,LotusWear UR-16,Streetwear,Standard,S,white,7556.85,7036.18
178,VietMode RS-19,Outdoor,Premium,M,black,16.75,9.27
179,SaigonFlex UM-08,Streetwear,Balanced,XL,blue,21108.8,18867.05
180,NamStyle YY-26,GenZ,Trendy,XL,purple,3144.4,2987.18
181,VietMode RP-33,Outdoor,Activewear,M,black,5598.43,3174.87
182,DragonWear UE-09,Streetwear,Performance,M,black,8498.7,8073.76
183,UrbanVN UC-30,Streetwear,Everyday,XL,purple,50.54,32.33
184,VietMode RP-97,Outdoor,Activewear,M,purple,4692.24,4457.63
185,UrbanVN UR-35,Streetwear,Standard,S,orange,44.65,27.67
186,VietMode RS-83,Outdoor,Premium,M,purple,5039.37,2724.28
187,DragonWear UM-39,Streetwear,Balanced,S,orange,30.02,19.26
188,SaigonFlex UM-14,Streetwear,Balanced,M,yellow,20.19,12.96
189,UrbanVN UE-21,Streetwear,Performance,M,black,4375.12,4156.36
190,VietMotion UE-11,Streetwear,Performance,M,silver,5033.7,3153.61
191,HanoiStreet UR-36,Streetwear,Standard,L,red,29.93,18.24
192,PhoenixWear UE-14,Streetwear,Performance,M,black,6821.85,5840.87
193,HanoiStreet UR-31,Streetwear,Standard,M,purple,45.14,25.52
194,SaigonFlex UC-84,Streetwear,Everyday,XL,yellow,,6509.62
195,SaigonCore YY-17,GenZ,Trendy,L,orange,4346.37,2195.35
196,LotusWear UR-20,Streetwear,Standard,S,pink,6826.62,5780.78
197,DragonWear MA-25,Casual,All-weather,M,purple,36.51,22.2
198,VietMotion MA-01,Casual,All-weather,XL,silver,78.36,46.39
199,IndigoViet UM-02,Streetwear,Balanced,S,red,14491.71,8826.9
200,VietMode UE-14,Streetwear,Performance,S,white,5416.74,3482.42
201,VietMode RP-64,Outdoor,Activewear,S,orange,3202.95,2647.24
202,UrbanVN MA-13,Casual,All-weather,S,red,3366.6,3198.27
203,PhoenixWear UE-16,Streetwear,Performance,XL,blue,8504.37,7320.56
204,HanoiStreet RP-16,Outdoor,Activewear,S,pink,818.37,554.36
205,NamStyle YY-15,GenZ,Trendy,S,white,1637.37,870.92
206,DragonWear UR-35,Streetwear,Standard,S,white,6815.39,3720.52
207,VietMode RS-76,Outdoor,Premium,L,pink,26.3,14.63
208,VietMode RP-23,Outdoor,Activewear,XL,black,5354.37,2882.26
209,UrbanVN UE-02,Streetwear,Performance,L,orange,7307.37,5269.34
210,PhoenixWear UC-02,Streetwear,Everyday,S,orange,16.36,9.14
211,DragonWear UR-39,Streetwear,Standard,S,pink,43.46,28.03
212,VietMode RP-80,Outdoor,Activewear,S,pink,4471.74,4248.15
213,UrbanVN RP-43,Outdoor,Activewear,S,pink,2865.87,2722.58
214,MekongFit RP-10,Outdoor,Activewear,S,white,1960.24,1605.83
215,MekongFit RP-19,Outdoor,Activewear,M,blue,2834.37,2692.65
216,VietMode RP-02,Outdoor,Activewear,L,red,3195.99,1813.72
217,SaigonFlex UM-05,Streetwear,Balanced,S,red,9886.8,7227.25
218,MekongFit RP-11,Outdoor,Activewear,M,purple,3731.97,2473.18
219,UrbanVN YY-05,GenZ,Trendy,M,black,42.87,25.64
220,SaigonCore UE-16,Streetwear,Performance,M,black,6970.46,6092.88
221,MekongFit UC-06,Streetwear,Everyday,S,white,4808.37,4567.95
222,SaigonFlex UC-28,Streetwear,Everyday,XL,blue,9445.09,8972.84
223,SaigonFlex UC-32,Streetwear,Everyday,XL,silver,10134.78,8711.85
224,SaigonCore UE-07,Streetwear,Performance,S,orange,7868.7,5265.73
225,DragonWear RS-03,Outdoor,Premium,L,red,5039.37,3891.4
226,VietMode RP-94,Outdoor,Activewear,L,orange,4400.34,2938.11
227,VietMotion RP-13,Outdoor,Activewear,S,green,24.4,14.02
228,DragonWear RP-20,Outdoor,Activewear,M,purple,3779.37,3427.13
229,LotusWear UM-01,Streetwear,Balanced,XL,blue,10136.85,5587.43
230,HanoiStreet UM-06,Streetwear,Balanced,L,orange,4674.73,4440.99
231,DragonWear UM-16,Streetwear,Balanced,M,yellow,10073.7,6682.89
232,SaigonFlex UC-91,Streetwear,Everyday,L,green,17013.9,16163.2
233,DragonWear MA-08,Casual,All-weather,S,pink,5353.45,3709.4
234,VietMode RP-71,Outdoor,Activewear,XL,yellow,3967.74,3426.54
235,LotusWear RP-05,Outdoor,Activewear,M,silver,38.78,23.6
236,MekongFit RP-30,Outdoor,Activewear,S,white,22.13,12.44
237,MekongFit UM-10,Streetwear,Balanced,M,blue,7748.37,4407.27
238,HanoiStreet UM-32,Streetwear,Balanced,S,pink,36.08,20.99
239,VietMode RS-09,Outdoor,Premium,XL,black,29.73,18.02
240,UrbanVN UE-08,Streetwear,Performance,S,pink,59.81,38.78
241,VietMotion RP-23,Outdoor,Activewear,L,green,3905.37,3541.78
242,VietMotion UM-08,Streetwear,Balanced,M,blue,9638.37,9156.45
243,VietMotion RP-29,Outdoor,Activewear,S,orange,32.25,20.86
244,VietMode RP-47,Outdoor,Activewear,XL,purple,3716.37,2789.88
245,LotusWear UE-39,Streetwear,Performance,L,pink,10553.85,5995.64
246,NamStyle YY-02,GenZ,Trendy,XL,black,2834.37,1825.9
247,DragonWear UM-32,Streetwear,Balanced,M,purple,46.01,26.14
248,VietMotion YY-03,GenZ,Trendy,L,white,1618.17,1252.47
249,HanoiStreet RP-64,Outdoor,Activewear,S,green,44.73,25.66
250,DragonWear UE-11,Streetwear,Performance,XL,blue,9191.45,8731.87
251,SaigonFlex UC-52,Streetwear,Everyday,XL,silver,5610.65,4180.5
252,VietMode MA-16,Casual,All-weather,S,red,5373.01,5104.36
253,VietMode RP-29,Outdoor,Activewear,M,silver,30.02,18.32
254,UrbanVN UR-43,Streetwear,Standard,S,red,26.14,16.68
255,LotusWear UE-14,Streetwear,Performance,M,blue,8405.19,6159.33
256,UrbanVN RS-04,Outdoor,Premium,M,purple,1920.87,1824.83
257,HanoiStreet RP-77,Outdoor,Activewear,M,yellow,2708.37,2535.31
258,SaigonCore YY-48,GenZ,Trendy,M,blue,4462.21,4239.1
259,HanoiStreet UR-24,Streetwear,Standard,L,pink,18.03,11.71
260,VietMode RP-15,Outdoor,Activewear,XL,blue,29.73,18.41
261,BambooCraft UC-10,Streetwear,Everyday,XL,black,8630.37,5459.57
262,BambooCraft UC-16,Streetwear,Everyday,M,silver,8661.22,4709.1
263,SaigonCore UE-13,Streetwear,Performance,L,pink,8251.73,4414.67
264,HanoiStreet RP-84,Outdoor,Activewear,S,green,3338.27,3052.85
265,LotusWear UC-02,Streetwear,Everyday,S,pink,12720.34,12084.33
266,VietMotion UR-25,Streetwear,Standard,L,orange,48.91,27.4
267,UrbanVN RP-27,Outdoor,Activewear,S,orange,18.33,11.25
268,SaigonCore UM-01,Streetwear,Balanced,M,yellow,7101.19,6343.49
269,LotusWear UE-30,Streetwear,Performance,M,yellow,40950.0,30319.38
270,SaigonFlex UM-09,Streetwear,Balanced,S,white,22378.45,17936.33
271,MekongFit UE-25,Streetwear,Performance,M,yellow,2618.91,2284.48
272,VietMode RP-08,Outdoor,Activewear,S,green,34.1,21.13
273,SaigonCore UC-05,Streetwear,Everyday,XL,yellow,9443.7,8971.52
274,VietMotion UR-07,Streetwear,Standard,S,white,37.7,20.76
275,SaigonFlex UE-22,Streetwear,Performance,L,white,6526.87,5059.63
276,SaigonFlex UM-18,Streetwear,Balanced,M,blue,14675.85,10280.43
277,SaigonFlex UM-00,Streetwear,Balanced,XL,purple,8656.97,6242.54
278,SaigonFlex UC-75,Streetwear,Everyday,L,red,11122.51,9587.6
279,VietMode RP-45,Outdoor,Activewear,M,blue,11.26,6.89
280,DragonWear MA-10,Casual,All-weather,L,red,8183.7,7774.51
281,HanoiStreet UR-20,Streetwear,Standard,L,white,77.39,49.4
282,VietMode MP-20,Casual,Activewear,S,orange,5164.74,2973.86
283,MekongFit UR-12,Streetwear,Standard,XL,purple,5890.31,5044.46
284,HanoiStreet UE-05,Streetwear,Performance,S,green,11024.37,7005.99
285,HanoiStreet UE-15,Streetwear,Performance,L,green,5178.67,4255.83
286,HanoiStreet RS-20,Outdoor,Premium,S,green,4614.08,3811.69
287,UrbanVN UE-04,Streetwear,Performance,S,white,4691.61,4457.03
289,MekongFit RP-58,Outdoor,Activewear,S,orange,1422.87,1014.22
290,UrbanVN UR-18,Streetwear,Standard,XL,purple,4382.41,3917.0
291,UrbanVN UC-23,Streetwear,Everyday,S,pink,7055.37,6285.63
292,VietMode MA-19,Casual,All-weather,XL,blue,23.46,14.61
293,SaigonFlex UM-64,Streetwear,Balanced,XL,yellow,12111.79,8626.02
294,VietMotion MA-17,Casual,All-weather,XL,blue,10199.7,8504.51
295,BambooCraft UM-10,Streetwear,Balanced,S,orange,15214.6,10097.93
296,BambooCraft UM-14,Streetwear,Balanced,S,green,17668.01,16784.61
297,DragonWear RP-14,Outdoor,Activewear,XL,yellow,4325.34,3585.71
298,MekongFit UE-31,Streetwear,Performance,XL,purple,3527.37,2364.75
299,MekongFit UE-23,Streetwear,Performance,XL,silver,5444.8,5172.56
300,VietMode RP-01,Outdoor,Activewear,M,yellow,22.09,12.87
301,PhoenixWear UC-10,Streetwear,Everyday,S,red,5147.28,4889.92
302,DragonWear UM-36,Streetwear,Balanced,M,yellow,14767.08,14028.72
303,SaigonFlex UM-63,Streetwear,Balanced,L,pink,21423.25,16733.7
304,NamStyle YY-01,GenZ,Trendy,L,red,1889.37,1538.51
305,VietMode RP-54,Outdoor,Activewear,L,orange,4524.5,4298.28
306,HanoiStreet UE-29,Streetwear,Performance,S,red,61.92,39.01
307,MekongFit UM-11,Streetwear,Balanced,L,white,11011.57,8816.96
308,VietMode MP-22,Casual,Activewear,L,white,5353.74,5086.05
309,SaigonFlex UM-66,Streetwear,Balanced,M,black,13863.65,13170.47
310,VietMotion UC-10,Streetwear,Everyday,L,orange,25.26,14.35
311,VietMotion UR-24,Streetwear,Standard,M,black,25.26,16.25
312,DragonWear RS-06,Outdoor,Premium,M,blue,3882.46,3688.34
313,VietMode RS-60,Outdoor,Premium,L,orange,72.67,40.55
314,DragonWear UR-29,Streetwear,Standard,L,pink,17.37,9.59
315,DragonWear MA-26,Casual,All-weather,L,green,9437.14,8226.36
316,SaigonFlex UC-42,Streetwear,Everyday,M,silver,36.48,21.98
317,VietMode RP-07,Outdoor,Activewear,XL,purple,4409.28,2546.8
318,NamStyle YY-25,GenZ,Trendy,L,white,1321.59,1255.51
319,MekongFit UC-01,Streetwear,Everyday,XL,yellow,1637.37,1262.25
320,LotusWear UM-06,Streetwear,Balanced,S,pink,7714.35,4099.41
321,VietMotion YY-21,GenZ,Trendy,S,orange,1233.09,836.53
322,DragonWear MA-18,Casual,All-weather,L,pink,4712.7,3098.13
323,SaigonCore UC-07,Streetwear,Everyday,M,black,9474.18,7096.16
324,DragonWear UC-05,Streetwear,Everyday,M,blue,9191.7,7248.57
325,SaigonFlex UC-13,Streetwear,Everyday,S,pink,10560.82,10032.78
326,UrbanVN UR-11,Streetwear,Standard,S,pink,15.17,8.46
327,PhoenixWear UE-09,Streetwear,Performance,S,green,26.79,15.05
328,UrbanVN RP-08,Outdoor,Activewear,M,blue,5291.37,3064.23
329,VietMotion RS-05,Outdoor,Premium,S,orange,56.91,31.49
330,HanoiStreet RP-01,Outdoor,Activewear,M,blue,1952.01,1681.85
331,LotusWear UE-45,Streetwear,Performance,S,white,13905.65,7827.49
332,SaigonFlex UC-38,Streetwear,Everyday,M,blue,3743.69,2813.76
333,LotusWear UE-41,Streetwear,Performance,S,red,52.31,31.73
334,LotusWear UR-24,Streetwear,Standard,S,orange,7556.85,4964.09
335,VietMotion UR-15,Streetwear,Standard,S,orange,22.14,13.58
336,SaigonFlex UC-35,Streetwear,Everyday,L,red,6934.76,6364.03
337,SaigonFlex UM-52,Streetwear,Balanced,XL,silver,18516.82,14254.24
338,UrbanVN RP-03,Outdoor,Activewear,S,pink,37.74,20.91
339,HanoiStreet RP-46,Outdoor,Activewear,L,pink,890.45,845.93
340,HanoiStreet RP-04,Outdoor,Activewear,S,green,1855.63,1762.85
341,UrbanVN MA-10,Casual,All-weather,M,silver,34.43,21.19
342,VietMode MP-23,Casual,Activewear,XL,purple,29.74,16.43
343,DragonWear UE-05,Streetwear,Performance,M,silver,9443.35,8471.63
344,UrbanVN RP-22,Outdoor,Activewear,XL,silver,3369.87,2821.26
345,UrbanVN UR-34,Streetwear,Standard,XL,black,26.47,16.77
346,HanoiStreet MA-12,Casual,All-weather,M,purple,29.5,17.54
347,VietMode RP-79,Outdoor,Activewear,XL,silver,4471.74,4248.15
348,VietMotion RP-37,Outdoor,Activewear,S,red,1070.21,1005.35
349,PhoenixWear UC-07,Streetwear,Everyday,M,silver,7876.34,5431.52
350,MekongFit RP-49,Outdoor,Activewear,XL,blue,1792.7,1145.9
351,SaigonFlex RS-02,Outdoor,Premium,XL,purple,4595.85,3068.65
352,PhoenixWear UR-03,Streetwear,Standard,XL,silver,5036.85,4118.13
353,UrbanVN RS-06,Outdoor,Premium,XL,silver,1972.56,1723.42
354,VietMode RP-04,Outdoor,Activewear,S,orange,37.84,22.49
355,HanoiStreet UC-37,Streetwear,Everyday,L,white,8151.27,6372.66
356,DragonWear MA-37,Casual,All-weather,M,silver,5449.5,5177.02
357,SaigonFlex UM-83,Streetwear,Balanced,L,pink,17103.87,10599.27
358,HanoiStreet UE-38,Streetwear,Performance,M,yellow,34.29,19.78
359,BambooCraft UC-18,Streetwear,Everyday,XL,yellow,11430.58,10859.05
360,MekongFit RP-15,Outdoor,Activewear,M,yellow,1889.37,1137.59
361,VietMode RP-29,Outdoor,Activewear,M,silver,46.89,29.86
362,VietMotion UR-20,Streetwear,Standard,M,silver,42.58,25.72
363,SaigonFlex UM-98,Streetwear,Balanced,M,blue,11636.1,11054.3
364,SaigonCore UE-15,Streetwear,Performance,S,red,17143.7,14587.57
365,HanoiStreet YY-23,GenZ,Trendy,L,orange,1889.37,1779.79
366,UrbanVN UC-20,Streetwear,Everyday,M,purple,8000.37,7600.35
367,NamStyle YY-28,GenZ,Trendy,M,silver,2204.37,1660.33
368,UrbanVN UC-22,Streetwear,Everyday,XL,silver,8712.53,7795.1
369,LotusWear UE-88,Streetwear,Performance,XL,silver,9257.85,8448.71
370,SaigonCore MA-02,Casual,All-weather,XL,silver,10073.7,7977.36
371,VietMode MP-10,Casual,Activewear,L,orange,4786.74,3972.52
372,SaigonFlex UC-58,Streetwear,Everyday,M,blue,22.08,12.49
373,HanoiStreet UC-53,Streetwear,Everyday,L,red,5403.09,3895.09
374,SaigonCore UM-06,Streetwear,Balanced,L,white,38.63,23.63
375,HanoiStreet UE-18,Streetwear,Performance,M,yellow,2910.24,1759.82
